Number #1;Formatted #1;Number #2;Formatted #2
"1111111111";"11-1111-1111";"1111111111";"11-1111-1111";
"1111111122";"11-1111-1122";"1111111122";"11-1111-1122";
"1111111133";"11-1111-1133";"1111111133";"11-1111-1133";
"1111111144";"11-1111-1144";"1111111144";"11-1111-1144";
"1111111155";"11-1111-1155";"1111111155";"11-1111-1155";
"1111111166";"11-1111-1166";"1111111166";"11-1111-1166";
"1111111177";"11-1111-1177";"1111111177";"11-1111-1177";
"1111111188";"11-1111-1188";"1111111188";"11-1111-1188";
"1111111199";"11-1111-1199";"1111111199";"11-1111-1199";
"1111111210";"11-1111-1210";"1111111210";"11-1111-1210";
"1111111221";"11-1111-1221";"1111111221";"11-1111-1221";
"1111111232";"11-1111-1232";"1111111232";"11-1111-1232";
"1111111243";"11-1111-1243";"1111111243";"11-1111-1243";
"1111111254";"11-1111-1254";"1111111254";"11-1111-1254";
"1111111265";"11-1111-1265";"1111111265";"11-1111-1265";
"1111111276";"11-1111-1276";"1111111276";"11-1111-1276";
"1111111287";"11-1111-1287";"1111111287";"11-1111-1287";
"1111111298";"11-1111-1298";"1111111298";"11-1111-1298";
"1111111309";"11-1111-1309";"1111111309";"11-1111-1309";
"1111111320";"11-1111-1320";"1111111320";"11-1111-1320";
"1111111331";"11-1111-1331";"1111111331";"11-1111-1331";
"1111111342";"11-1111-1342";"1111111342";"11-1111-1342";
"1111111353";"11-1111-1353";"1111111353";"11-1111-1353";
"1111111364";"11-1111-1364";"1111111364";"11-1111-1364";
"1111111375";"11-1111-1375";"1111111375";"11-1111-1375";
"1111111386";"11-1111-1386";"1111111386";"11-1111-1386";
"1111111397";"11-1111-1397";"1111111397";"11-1111-1397";
"1111111408";"11-1111-1408";"1111111408";"11-1111-1408";
"1111111419";"11-1111-1419";"1111111419";"11-1111-1419";
"1111111430";"11-1111-1430";"1111111430";"11-1111-1430";
"1111111441";"11-1111-1441";"1111111441";"11-1111-1441";
"1111111452";"11-1111-1452";"1111111452";"11-1111-1452";
"1111111463";"11-1111-1463";"1111111463";"11-1111-1463";
"1111111474";"11-1111-1474";"1111111474";"11-1111-1474";
"1111111485";"11-1111-1485";"1111111485";"11-1111-1485";
"1111111496";"11-1111-1496";"1111111496";"11-1111-1496";
"1111111507";"11-1111-1507";"1111111507";"11-1111-1507";
"1111111518";"11-1111-1518";"1111111518";"11-1111-1518";
"1111111529";"11-1111-1529";"1111111529";"11-1111-1529";
"1111111540";"11-1111-1540";"1111111540";"11-1111-1540";
"1111111551";"11-1111-1551";"1111111551";"11-1111-1551";
"1111111562";"11-1111-1562";"1111111562";"11-1111-1562";
"1111111573";"11-1111-1573";"1111111573";"11-1111-1573";
"1111111584";"11-1111-1584";"1111111584";"11-1111-1584";
"1111111595";"11-1111-1595";"1111111595";"11-1111-1595";
"1111111606";"11-1111-1606";"1111111606";"11-1111-1606";
"1111111617";"11-1111-1617";"1111111617";"11-1111-1617";
"1111111628";"11-1111-1628";"1111111628";"11-1111-1628";
"1111111639";"11-1111-1639";"1111111639";"11-1111-1639";
"1111111650";"11-1111-1650";"1111111650";"11-1111-1650";
"1111111661";"11-1111-1661";"1111111661";"11-1111-1661";
"1111111672";"11-1111-1672";"1111111672";"11-1111-1672";
"1111111683";"11-1111-1683";"1111111683";"11-1111-1683";
"1111111694";"11-1111-1694";"1111111694";"11-1111-1694";
"1111111705";"11-1111-1705";"1111111705";"11-1111-1705";
"1111111716";"11-1111-1716";"1111111716";"11-1111-1716";
"1111111727";"11-1111-1727";"1111111727";"11-1111-1727";
"1111111738";"11-1111-1738";"1111111738";"11-1111-1738";
"1111111749";"11-1111-1749";"1111111749";"11-1111-1749";
"1111111760";"11-1111-1760";"1111111760";"11-1111-1760";
"1111111771";"11-1111-1771";"1111111771";"11-1111-1771";
"1111111782";"11-1111-1782";"1111111782";"11-1111-1782";
"1111111793";"11-1111-1793";"1111111793";"11-1111-1793";
"1111111804";"11-1111-1804";"1111111804";"11-1111-1804";
"1111111815";"11-1111-1815";"1111111815";"11-1111-1815";
"1111111826";"11-1111-1826";"1111111826";"11-1111-1826";
"1111111837";"11-1111-1837";"1111111837";"11-1111-1837";
"1111111848";"11-1111-1848";"1111111848";"11-1111-1848";
"1111111859";"11-1111-1859";"1111111859";"11-1111-1859";
"1111111870";"11-1111-1870";"1111111870";"11-1111-1870";
"1111111881";"11-1111-1881";"1111111881";"11-1111-1881";
"1111111892";"11-1111-1892";"1111111892";"11-1111-1892";
"1111111903";"11-1111-1903";"1111111903";"11-1111-1903";
"1111111914";"11-1111-1914";"1111111914";"11-1111-1914";
"1111111925";"11-1111-1925";"1111111925";"11-1111-1925";
"1111111936";"11-1111-1936";"1111111936";"11-1111-1936";
"1111111947";"11-1111-1947";"1111111947";"11-1111-1947";
"1111111958";"11-1111-1958";"1111111958";"11-1111-1958";
"1111111969";"11-1111-1969";"1111111969";"11-1111-1969";
"1111111980";"11-1111-1980";"1111111980";"11-1111-1980";
"1111111991";"11-1111-1991";"1111111991";"11-1111-1991";
"1111112002";"11-1111-2002";"1111112002";"11-1111-2002";
"1111112013";"11-1111-2013";"1111112013";"11-1111-2013";
"1111112024";"11-1111-2024";"1111112024";"11-1111-2024";
"1111112035";"11-1111-2035";"1111112035";"11-1111-2035";
"1111112046";"11-1111-2046";"1111112046";"11-1111-2046";
"1111112057";"11-1111-2057";"1111112057";"11-1111-2057";
"1111112068";"11-1111-2068";"1111112068";"11-1111-2068";
"1111112079";"11-1111-2079";"1111112079";"11-1111-2079";
"1111112090";"11-1111-2090";"1111112090";"11-1111-2090";
"1111112101";"11-1111-2101";"1111112101";"11-1111-2101";
"1111112112";"11-1111-2112";"1111112112";"11-1111-2112";
"1111112123";"11-1111-2123";"1111112123";"11-1111-2123";
"1111112134";"11-1111-2134";"1111112134";"11-1111-2134";
"1111112145";"11-1111-2145";"1111112145";"11-1111-2145";
"1111112156";"11-1111-2156";"1111112156";"11-1111-2156";
"1111112167";"11-1111-2167";"1111112167";"11-1111-2167";
"1111112178";"11-1111-2178";"1111112178";"11-1111-2178";
"1111112189";"11-1111-2189";"1111112189";"11-1111-2189";
"1111112200";"11-1111-2200";"1111112200";"11-1111-2200";
"1111112211";"11-1111-2211";"1111112211";"11-1111-2211";
"1111112222";"11-1111-2222";"1111112222";"11-1111-2222";
"1111112233";"11-1111-2233";"1111112233";"11-1111-2233";
"1111112244";"11-1111-2244";"1111112244";"11-1111-2244";
"1111112255";"11-1111-2255";"1111112255";"11-1111-2255";
"1111112266";"11-1111-2266";"1111112266";"11-1111-2266";
"1111112277";"11-1111-2277";"1111112277";"11-1111-2277";
"1111112288";"11-1111-2288";"1111112288";"11-1111-2288";
"1111112299";"11-1111-2299";"1111112299";"11-1111-2299";
"1111112310";"11-1111-2310";"1111112310";"11-1111-2310";
"1111112321";"11-1111-2321";"1111112321";"11-1111-2321";
"1111112332";"11-1111-2332";"1111112332";"11-1111-2332";
"1111112343";"11-1111-2343";"1111112343";"11-1111-2343";
"1111112354";"11-1111-2354";"1111112354";"11-1111-2354";
"1111112365";"11-1111-2365";"1111112365";"11-1111-2365";
"1111112376";"11-1111-2376";"1111112376";"11-1111-2376";
"1111112387";"11-1111-2387";"1111112387";"11-1111-2387";
"1111112398";"11-1111-2398";"1111112398";"11-1111-2398";
"1111112409";"11-1111-2409";"1111112409";"11-1111-2409";
"1111112420";"11-1111-2420";"1111112420";"11-1111-2420";
"1111112431";"11-1111-2431";"1111112431";"11-1111-2431";
"1111112442";"11-1111-2442";"1111112442";"11-1111-2442";
"1111112453";"11-1111-2453";"1111112453";"11-1111-2453";
"1111112464";"11-1111-2464";"1111112464";"11-1111-2464";
"1111112475";"11-1111-2475";"1111112475";"11-1111-2475";
"1111112486";"11-1111-2486";"1111112486";"11-1111-2486";
"1111112497";"11-1111-2497";"1111112497";"11-1111-2497";
"1111112508";"11-1111-2508";"1111112508";"11-1111-2508";
"1111112519";"11-1111-2519";"1111112519";"11-1111-2519";
"1111112530";"11-1111-2530";"1111112530";"11-1111-2530";
"1111112541";"11-1111-2541";"1111112541";"11-1111-2541";
"1111112552";"11-1111-2552";"1111112552";"11-1111-2552";
"1111112563";"11-1111-2563";"1111112563";"11-1111-2563";
"1111112574";"11-1111-2574";"1111112574";"11-1111-2574";
"1111112585";"11-1111-2585";"1111112585";"11-1111-2585";
